actor/actor_loss,actor/alpha,actor/alpha_loss,actor/bc_loss,actor/entropy,actor/q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-8.022837,1.0,20.72059,0.0,8.220591,-0.19775373,12.697754,214.13858,3.345306,-0.1832079,-2.9302819,20.72059,-1.9488882,745.2466,5000
209.16873,0.28946954,7.3419757,0.0,12.863553,-212.89233,216.51071,1.113885,-176.67673,-212.98067,-215.63013,7.3419757,-0.7187488,33.44951,10000
238.23672,0.1076166,1.5578516,0.0,1.9759402,-238.44937,239.79457,3.9660172,-156.81877,-241.53271,-274.54898,1.5578516,-1.3034625,66.773155,15000
224.13292,0.050243553,-0.021385288,0.0,-12.925632,-223.48349,224.11153,2.4187703,-143.92873,-227.99596,-267.74557,0.80605805,-0.9170987,54.924644,20000
207.65564,0.044476517,0.010825652,0.0,-12.256598,-207.11053,207.66646,2.5944242,-98.370865,-211.67358,-264.32602,0.77169096,-0.86288977,76.46595,25000
199.7042,0.04349157,0.029251175,0.0,-11.827429,-199.18979,199.73344,2.3614175,-98.4442,-203.75937,-257.34885,0.6418346,-0.64020115,53.156548,30000
195.17943,0.042594194,0.011340405,0.0,-12.233757,-194.65834,195.19077,2.4031093,-93.74842,-199.27315,-249.87643,1.3761246,-1.4389397,60.51086,35000
190.00581,0.04367138,-0.005905725,0.0,-12.635231,-189.45403,189.99991,2.468369,-92.34354,-194.48181,-260.92392,0.8214416,-0.76074606,51.95107,40000
192.17549,0.03898148,0.010456949,0.0,-12.231746,-191.69867,192.18594,2.3989923,-92.79696,-196.32573,-257.85587,1.0692759,-0.87590486,71.08155,45000
190.04225,0.04023363,-0.04054999,0.0,-13.507863,-189.4988,190.00171,3.100207,-94.0285,-194.51918,-257.30798,0.5612283,-0.61060405,48.343544,50000
191.14383,0.039546005,0.014196798,0.0,-12.1410055,-190.6637,191.15802,3.7875214,-80.47546,-195.51772,-265.02554,0.6178675,-0.71372116,67.37256,55000
186.45699,0.03978518,0.0004156937,0.0,-12.489552,-185.96008,186.4574,2.5959332,-90.30243,-190.80669,-260.05725,0.7885294,-0.5578674,50.944786,60000
186.44553,0.041034047,0.015233309,0.0,-12.128764,-185.94781,186.46075,1.9848034,-85.06116,-190.83038,-263.67725,0.58389527,-0.64067906,46.293236,65000
182.3037,0.04125974,-0.023196012,0.0,-13.062195,-181.76476,182.2805,2.8225734,-80.60679,-186.86003,-263.0024,0.6631213,-0.7163185,72.48299,70000
182.77005,0.04016514,0.013509257,0.0,-12.163657,-182.2815,182.78355,2.7225301,-81.70468,-186.96942,-260.09195,0.73209673,-0.7942857,58.41758,75000
185.77328,0.038459662,0.032086164,0.0,-11.665719,-185.32465,185.80537,3.9460676,-85.18451,-190.35912,-264.23965,1.3997322,-1.2796662,65.91394,80000
186.48587,0.038885895,0.01920646,0.0,-12.006082,-186.019,186.50508,2.211392,-88.80432,-190.62572,-269.08194,1.06022,-0.75386167,48.863346,85000
