actor/actor_loss,actor/alpha,actor/alpha_loss,actor/bc_loss,actor/entropy,actor/q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-8.773044,1.0,21.253433,0.0,8.753433,0.019610306,12.48039,211.72954,2.7034013,0.014147529,-2.8749404,21.253433,-1.8274362,730.5817,5000
208.68613,0.28953144,7.3676133,0.0,12.946679,-212.4346,216.05374,1.51568,-170.6337,-212.47652,-215.75308,7.3676133,-0.44911364,31.770885,10000
238.1411,0.10678503,1.6673346,0.0,3.1139352,-238.4736,239.80843,3.0928433,-178.70065,-241.3295,-270.12045,1.6673346,-0.8466525,75.66008,15000
225.00815,0.048718493,0.12295034,0.0,-9.976311,-224.52211,225.1311,2.5736263,-157.38278,-228.67593,-271.83057,0.6866329,-0.5822829,66.90797,20000
209.44342,0.039648302,0.023230331,0.0,-11.91409,-208.97105,209.46664,2.0715904,-129.11983,-213.20305,-262.54416,0.69891876,-0.47616652,53.628006,25000
205.51715,0.04008402,-0.014278281,0.0,-12.856209,-205.0018,205.50287,2.2784812,-135.45334,-209.71524,-261.32327,0.633279,-0.604657,57.506783,30000
201.81918,0.040124916,-0.019742554,0.0,-12.992027,-201.29788,201.79944,1.879424,-137.46346,-205.87553,-262.10483,0.6818799,-0.7009969,52.01214,35000
197.34468,0.038386714,-0.0034778002,0.0,-12.590599,-196.86136,197.3412,2.9532745,-119.40125,-201.45024,-265.99512,0.5195267,-0.40206236,46.85344,40000
197.36923,0.040530764,-0.013893603,0.0,-12.842792,-196.8487,197.35533,2.6289737,-117.07649,-201.55115,-256.39044,2.0729995,-1.5848372,69.04081,45000
192.36487,0.040759724,-0.0023023202,0.0,-12.556485,-191.85306,192.36256,3.5054817,-117.32483,-196.45236,-259.92813,0.8979304,-0.72107524,67.63406,50000
187.95207,0.03960847,0.025826968,0.0,-11.847943,-187.48279,187.9779,2.221276,-79.60033,-192.16537,-264.1913,0.49625576,-0.4918519,52.56157,55000
187.06572,0.04068737,-0.051721327,0.0,-13.771189,-186.5054,187.01399,2.9190805,-76.631775,-191.57458,-274.69284,2.0018027,-2.02949,83.30142,60000
189.0224,0.039976966,-0.0027443904,0.0,-12.568649,-188.51993,189.01965,2.5641136,-80.60029,-193.87027,-273.96136,1.2177336,-1.1264551,81.482025,65000
186.90561,0.03812719,-0.0090178,0.0,-12.736519,-186.42,186.89659,3.4136207,-71.60595,-191.20036,-268.0522,0.800191,-0.8376701,82.73392,70000
187.92867,0.037970226,0.029241364,0.0,-11.729887,-187.48328,187.9579,2.4308882,-77.73706,-191.8517,-271.30014,1.05892,-1.0994195,76.01878,75000
186.4999,0.038725454,-0.008218065,0.0,-12.7122135,-186.00758,186.49167,2.7834427,-71.49507,-190.91061,-273.06796,0.80701107,-0.6481789,61.15026,80000
187.7909,0.037606515,0.021563774,0.0,-11.926595,-187.34238,187.81245,3.476474,-67.11981,-192.24136,-270.39148,1.0041373,-1.4690143,63.897427,85000
190.24855,0.03740935,-0.002742547,0.0,-12.573312,-189.7782,190.2458,2.4277828,-85.51157,-194.5921,-269.31122,1.0678387,-1.3487025,54.724327,90000
186.31091,0.037207328,-0.035004858,0.0,-13.440805,-185.81082,186.27591,3.3883379,-89.500824,-190.59642,-268.35233,1.7645326,-2.4695773,65.659584,95000
186.85648,0.037756126,0.04073434,0.0,-11.42112,-186.42525,186.89722,2.8646,-92.5751,-191.38945,-266.24274,1.1228237,-1.5173268,75.77052,100000
186.63687,0.036995467,0.014710321,0.0,-12.102375,-186.18915,186.65158,2.6329758,-77.30909,-190.68265,-271.414,1.0780452,-1.1625429,56.97199,105000
185.40256,0.036523227,-0.0065470235,0.0,-12.679256,-184.93948,185.39601,2.2365777,-79.31011,-189.69164,-270.71573,0.45656633,-0.48016658,37.709488,110000
184.43471,0.03590885,-0.020851891,0.0,-13.080689,-183.965,184.41385,2.110359,-74.63331,-188.93857,-273.89322,0.4157661,-0.40762895,37.34518,115000
185.26823,0.03664777,-0.014676499,0.0,-12.900475,-184.79547,185.25356,2.4861934,-77.39266,-189.53716,-268.3222,0.40726116,-0.4105936,33.836384,120000
188.00824,0.036263213,-0.019749759,0.0,-13.044622,-187.5352,187.9885,2.2330098,-81.14033,-191.89873,-270.22687,0.35687867,-0.4548275,43.550842,125000
187.19983,0.036621768,0.012797306,0.0,-12.150555,-186.75485,187.21263,2.5471592,-89.27262,-191.45924,-269.6908,0.81886435,-0.8284607,46.612434,130000
187.30763,0.036058024,-0.015273188,0.0,-12.923573,-186.84164,187.29236,2.611141,-95.75455,-191.38422,-270.66196,0.38610256,-0.32076433,41.34127,135000
184.93436,0.036308527,-0.0008233838,0.0,-12.522677,-184.47968,184.93353,2.6139767,-81.76978,-189.18016,-273.84927,1.2087762,-1.2042311,58.643524,140000
