actor/actor_loss,actor/bc_flow_loss,actor/distill_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
236.5138,0.17163086,0.017807722,3.8687487,-132.01999,-237.41031,-297.84137,11.581085,-0.96822536,111.125374,1005000
235.51636,0.21648264,0.018562648,6.0843763,-135.70288,-236.60083,-300.92502,9.380054,-2.229728,148.72427,1010000
238.55623,0.19511352,0.016805649,5.8727016,-127.68293,-239.27705,-298.11667,1.9218041,-9.083918,145.88525,1015000
236.53197,0.161423,0.018457755,5.1369786,-97.093956,-237.76779,-298.18164,3.840495,-8.237734,147.14603,1020000
236.85387,0.15298118,0.017342703,4.6471577,-98.78143,-237.5849,-301.9137,2.973833,-2.8173754,123.4609,1025000
237.51068,0.18836506,0.015061963,4.2077727,-136.61153,-238.01949,-299.9229,2.309003,-14.646328,157.43092,1030000
237.55862,0.19424196,0.016977215,4.0001574,-117.83196,-238.56627,-300.3333,8.7063675,-2.5662425,117.69287,1035000
231.91585,0.187303,0.018347329,5.878226,-122.3194,-232.9263,-299.3082,4.8498235,-8.416254,146.66167,1040000
233.9042,0.2168488,0.017561194,4.4420958,-95.94399,-235.09402,-300.61826,7.2926116,-5.0985603,134.80905,1045000
234.57552,0.1779878,0.01718785,5.6915665,-94.17747,-235.73488,-299.28165,11.629544,-7.1101913,148.15173,1050000
237.91908,0.18059446,0.019820124,4.7890496,-102.18365,-238.89957,-299.70892,3.085023,-1.3920903,106.94101,1055000
233.625,0.19709316,0.015087119,3.7614994,-89.63656,-234.20703,-300.0682,0.8571261,-9.012838,96.61571,1060000
230.62396,0.18940608,0.019362058,6.3446827,-100.07162,-231.40753,-300.1674,13.552263,-2.2980406,153.21014,1065000
233.54938,0.18342297,0.019864935,5.316941,-96.10359,-234.09586,-299.59225,1.6980653,-10.912539,134.04016,1070000
235.58629,0.18937874,0.017122133,5.121274,-125.38606,-236.63007,-302.19666,4.0319896,-4.0598836,116.98456,1075000
232.61732,0.16627838,0.017877433,4.588189,-136.12016,-233.80591,-300.53165,7.3008842,-2.3945198,117.95945,1080000
232.78035,0.19725132,0.018346233,5.69287,-121.43115,-233.8088,-300.43942,3.6338587,-1.7955759,124.778305,1085000
232.15402,0.1851355,0.017540807,5.297927,-93.941536,-232.73227,-301.38812,4.0470796,-4.146205,133.98746,1090000
229.91333,0.18999285,0.017989427,6.634807,-87.98691,-231.4556,-300.613,13.356644,-4.120839,183.17468,1095000
228.31064,0.2065559,0.01846271,4.851205,-91.34243,-229.16208,-300.75998,9.449516,-1.8414898,130.11044,1100000
230.5388,0.21095596,0.017617531,4.7281027,-93.77762,-231.93327,-299.6017,5.477287,-5.4885044,116.88396,1105000
229.8279,0.16035949,0.018227752,6.576345,-95.28832,-231.0826,-299.8237,3.7858794,-9.589762,179.53915,1110000
233.17459,0.17077434,0.016294517,4.6982975,-93.480995,-234.02429,-301.14255,1.048946,-10.270374,133.0592,1115000
233.56851,0.19173904,0.021363888,5.776915,-96.39281,-234.57338,-299.7475,5.2291245,-2.4369278,133.46675,1120000
227.97397,0.19007938,0.01976279,6.5705957,-99.80463,-229.61673,-299.52264,5.7920237,-9.561659,253.55771,1125000
230.33823,0.18285242,0.019688081,5.6423883,-97.71237,-230.77475,-300.82416,3.7189627,-1.2622173,113.78464,1130000
229.61633,0.18350433,0.021079661,5.7541175,-98.618095,-229.91617,-299.04584,4.8000107,-2.5197153,126.2214,1135000
231.44505,0.1619448,0.018870523,5.6590776,-94.69888,-232.30313,-299.8416,8.430668,-1.8631982,126.983055,1140000
226.10947,0.17829558,0.018180227,4.8984795,-47.88265,-227.08353,-300.47003,8.02804,-6.8032,119.579254,1145000
235.57889,0.16127037,0.020141711,4.5020924,-72.095215,-236.32758,-300.93848,3.3122778,-1.5057532,115.11856,1150000
232.53026,0.19590795,0.018619899,5.673987,-90.05766,-233.25082,-300.1921,6.632394,-10.607815,144.02953,1155000
229.09079,0.19934772,0.018707037,5.6321564,-83.725006,-229.73845,-299.4799,1.7249988,-12.883992,154.72028,1160000
228.68501,0.19278991,0.022250647,5.4217196,-92.67177,-229.80902,-300.9238,3.2539425,-4.3619947,131.68985,1165000
227.38406,0.19486526,0.019080387,5.7833323,-144.86153,-228.6842,-299.25708,12.468916,-8.414368,139.62521,1170000
227.58228,0.18079242,0.019077597,4.884572,-91.19443,-228.88486,-300.4331,5.244911,-5.2259183,122.36081,1175000
231.22195,0.17256744,0.017871141,5.515974,-57.537525,-231.60446,-300.9775,2.8973832,-5.2457786,126.90181,1180000
219.75337,0.15732528,0.017692499,6.5389295,-41.790363,-220.95375,-300.90802,4.904606,-3.3342664,138.6659,1185000
225.01326,0.19797042,0.018002713,7.359957,-51.45608,-226.05179,-300.69977,18.195566,-3.2073052,190.88428,1190000
222.37068,0.16992603,0.01786053,5.597042,-83.5936,-223.68326,-297.0949,2.3462956,-12.349661,151.89967,1195000
220.1302,0.18783753,0.018547138,6.1149473,-51.429024,-221.42197,-299.62302,4.8363895,-3.27864,127.73778,1200000
221.39954,0.17396851,0.019601012,6.102169,-80.08826,-222.53806,-300.53668,1.5613071,-15.789002,150.74173,1205000
221.0545,0.1671411,0.019235602,6.220742,-33.689575,-222.17628,-299.03833,10.106578,-5.0895004,144.42513,1210000
223.49197,0.19093442,0.018118493,4.7562647,-74.91105,-224.52397,-299.37283,1.9650885,-13.668175,140.66531,1215000
219.47076,0.18900573,0.020308644,6.0367236,-68.98364,-220.15166,-299.32306,2.2474616,-22.5284,158.01642,1220000
222.74377,0.16708827,0.018215593,6.0473413,-93.58266,-223.91998,-300.0685,4.622393,-9.746839,131.20023,1225000
220.87842,0.17618263,0.019870272,5.885221,-80.41754,-221.91191,-301.41455,10.770747,-2.9298303,162.82448,1230000
220.93066,0.19117549,0.019423993,5.3400745,-60.404133,-222.26822,-300.0577,14.414418,-2.5120974,154.76054,1235000
221.44899,0.2127784,0.018366817,4.9645815,-53.601425,-222.20596,-298.4766,5.0390754,-2.74429,114.53085,1240000
214.627,0.2141505,0.021441365,5.0336623,-62.79781,-215.82318,-294.87762,2.2707787,-9.076779,158.66609,1245000
221.25912,0.17786388,0.019126583,5.947727,-79.82618,-222.24695,-295.23892,7.0990634,-2.9556084,130.935,1250000
213.70619,0.19881432,0.021451917,6.6861677,-51.304485,-215.12202,-299.81058,16.95703,-3.3410559,179.34912,1255000
215.85902,0.17609616,0.02138501,5.97373,-44.837505,-217.14096,-296.86853,2.3741906,-5.9536037,132.9422,1260000
215.16376,0.18594302,0.019230241,6.966973,-18.494736,-216.28206,-295.3205,3.2828615,-5.1666775,151.61075,1265000
215.91507,0.18638124,0.01948867,6.3258233,-65.758125,-216.92502,-301.3211,12.444525,-2.0237453,158.64163,1270000
209.88425,0.19257575,0.022350501,6.221381,-41.053802,-211.33545,-302.64996,2.4262347,-10.458824,139.16002,1275000
210.17711,0.20853043,0.020251505,7.4732413,-57.598022,-211.35136,-299.63696,19.283928,-3.113656,209.56389,1280000
212.13698,0.19728702,0.023678256,5.51535,-14.60722,-213.3584,-298.9545,1.4458616,-14.394243,153.86313,1285000
209.52568,0.18801266,0.022251332,6.7479715,-58.11733,-211.04169,-299.99454,15.815109,-2.5580997,165.88216,1290000
209.49492,0.18948717,0.022605969,7.1862698,-76.72495,-211.03363,-298.89944,7.015005,-19.248846,176.74939,1295000
211.83148,0.17378452,0.020096924,8.307486,-79.12836,-213.21121,-299.3226,5.9701185,-3.0464015,183.47577,1300000
213.04585,0.19935928,0.02194702,6.995165,-13.481109,-213.75542,-300.18365,10.559689,-3.686359,175.88342,1305000
210.90808,0.17719288,0.022532228,7.603203,-42.358994,-212.36615,-298.5645,30.773764,-2.1533873,221.11159,1310000
207.1501,0.20292388,0.020168109,6.7548103,-50.1198,-208.58798,-299.43304,2.8618612,-3.8165054,141.50931,1315000
215.06775,0.17919149,0.020118289,7.607275,-51.736763,-216.19609,-301.71793,6.792403,-7.509386,180.4311,1320000
209.04922,0.17449571,0.020539908,7.9846272,-44.60975,-210.48952,-297.80347,14.586924,-37.214447,260.95004,1325000
204.89224,0.1723449,0.021099808,6.2499857,-57.9089,-205.91377,-300.2483,11.781052,-14.01495,180.2323,1330000
200.93633,0.20255302,0.020040983,6.7015915,-30.337605,-201.95453,-298.29446,9.693724,-3.6973171,153.4288,1335000
210.69446,0.18831909,0.021943817,7.2513113,-41.26167,-212.27573,-300.5754,12.043106,-2.0628166,177.22061,1340000
208.34758,0.19005613,0.0227198,9.455896,-24.602432,-209.47366,-295.66708,9.80809,-3.8500392,189.82373,1345000
206.52895,0.19200885,0.02187799,7.0786686,-26.628237,-207.4316,-297.46378,3.66405,-9.359783,171.59526,1350000
208.99535,0.19046344,0.021022191,8.416563,-25.994394,-210.49051,-296.3148,2.2203197,-12.04756,190.14636,1355000
204.08241,0.18285312,0.02117572,8.411613,-23.602783,-205.75027,-296.4193,3.6509824,-10.490186,194.23895,1360000
206.84418,0.18521659,0.01971218,8.261816,-62.11925,-207.95998,-298.53867,19.025177,-2.6465423,189.37979,1365000
201.68777,0.18183292,0.022726307,7.783057,-12.592,-203.73108,-298.21765,28.811367,-4.2194977,224.07059,1370000
205.29607,0.18006523,0.022501139,7.3162556,-68.90663,-206.8171,-297.45,5.1096992,-2.6214914,155.09085,1375000
206.1449,0.2011734,0.021928608,8.163387,-17.043158,-207.63782,-290.84073,9.548146,-5.746729,183.9318,1380000
204.58543,0.18036136,0.020285754,6.542341,-19.25603,-206.33826,-294.5173,10.021412,-1.8114183,162.71744,1385000
201.78368,0.18178178,0.023702912,8.003816,-41.768616,-202.853,-294.5088,21.821297,-6.139185,216.64948,1390000
197.24055,0.18484147,0.023846287,6.662293,-46.26409,-198.58101,-299.05508,2.7244215,-15.402404,187.01712,1395000
200.41791,0.19586396,0.022791447,7.6887083,-49.509495,-201.72495,-297.9678,3.3205142,-8.356107,175.82777,1400000
201.86208,0.21027078,0.022268467,8.375664,-42.242584,-202.90672,-301.46292,9.813415,-2.2560887,183.09712,1405000
201.9794,0.16584381,0.019523658,12.387377,-22.026676,-203.65509,-299.67825,9.76043,-14.189971,342.4366,1410000
203.84967,0.18876702,0.026494907,8.381731,-48.4983,-205.56195,-299.701,5.0772314,-18.02027,204.72385,1415000
201.33574,0.18436442,0.024070486,9.423051,-25.14119,-203.04584,-299.24878,15.062136,-3.7083516,237.58633,1420000
203.71596,0.17688745,0.020739555,8.122766,-48.98759,-204.86853,-297.52667,26.054554,-6.5312777,272.5772,1425000
193.7887,0.16095598,0.02335071,7.16763,-28.667576,-195.11768,-301.37167,7.5525913,-4.3873873,172.18634,1430000
202.826,0.18732455,0.02250407,7.4479184,-8.756,-204.39252,-302.61252,23.435482,-3.1745563,207.48482,1435000
201.45306,0.19756979,0.019178407,8.217687,-48.374405,-202.62555,-298.02966,4.7802286,-6.5583487,167.6629,1440000
203.226,0.16998927,0.020587835,10.653796,-31.453304,-204.57657,-299.2909,5.9322557,-18.37933,225.89496,1445000
206.00482,0.19565442,0.024341727,5.962903,-35.68667,-207.49701,-299.76608,4.3860636,-3.507794,141.40576,1450000
201.86662,0.1985224,0.020781698,6.901333,-45.6275,-203.2575,-293.07312,3.7451608,-13.212698,166.15428,1455000
