actor/actor_loss,actor/alpha,actor/alpha_loss,actor/bc_loss,actor/entropy,actor/q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-3.736256,1.0,6.988856,0.0,3.9888558,-0.25259995,3.2526,9.61518,2.626987,-0.2467011,-2.8233793,6.988856,-0.6024029,159.76611,5000
68.305435,0.2894774,2.0568333,0.0,4.1053324,-69.49384,70.36227,0.11070669,-54.50092,-69.49099,-70.69087,2.0568333,-0.075305715,7.636301,10000
119.08434,0.094647445,0.65908116,0.0,3.963539,-119.45949,119.74342,0.27958983,-74.71022,-119.497856,-121.91202,0.65908116,-0.15657201,12.122247,15000
150.10265,0.037858218,0.06803242,0.0,-1.2029681,-150.0571,150.17068,0.59583694,-89.4649,-150.9892,-161.77608,0.39855856,-0.5428319,20.488295,20000
155.35287,0.03303471,0.040370792,0.0,-1.777928,-155.29416,155.39325,0.37493142,-108.38535,-156.03368,-187.75645,0.18843894,-0.17528215,18.658798,25000
172.47139,0.020090228,0.0010953266,0.0,-2.9454796,-172.41223,172.47249,0.44461486,-110.47473,-173.2394,-208.89583,0.27773196,-0.20438926,26.466963,30000
176.03543,0.03253278,0.013909246,0.0,-2.5724545,-175.95175,176.04935,0.4288919,-100.475746,-176.85306,-211.36325,0.19412977,-0.21050613,24.28051,35000
177.96513,0.047309324,0.011950299,0.0,-2.7474008,-177.83514,177.97708,0.83777153,-95.62472,-179.1649,-239.442,0.39661098,-0.3717009,29.168554,40000
174.90295,0.037437547,-0.011222132,0.0,-3.299756,-174.77942,174.89174,0.55387694,-100.68293,-176.00389,-250.43808,0.42782336,-0.3308468,35.952816,45000
179.71439,0.039227724,-0.0022269331,0.0,-3.0567694,-179.59448,179.71216,0.6361667,-104.69354,-180.69127,-259.9248,0.33862618,-0.28042203,24.635448,50000
174.08536,0.04652703,0.024678549,0.0,-2.4695868,-173.97046,174.11003,0.9220354,-113.06169,-175.17604,-252.28522,1.3532602,-1.3506067,76.336464,55000
176.15924,0.03633351,0.009842609,0.0,-2.7291038,-176.06009,176.16908,0.6630041,-101.55632,-177.17686,-243.6889,0.4111372,-0.4331222,30.277802,60000
179.5476,0.034435537,0.0067919213,0.0,-2.8027642,-179.45108,179.5544,0.52230924,-110.11079,-180.4221,-250.2724,0.19604993,-0.1935736,20.815844,65000
177.07445,0.03917544,0.0058715376,0.0,-2.850122,-176.9628,177.08032,0.6192295,-113.07936,-178.09813,-248.24744,0.29006118,-0.28050515,20.303114,70000
183.61945,0.033561587,-0.008524425,0.0,-3.2539935,-183.51024,183.61092,0.56018907,-119.30386,-184.4152,-246.93263,0.26366657,-0.23891239,24.727879,75000
185.41808,0.039048824,-0.0022943758,0.0,-3.0587566,-185.29863,185.41579,0.59555596,-118.64637,-186.48474,-253.24554,0.3442836,-0.3274591,18.377893,80000
186.90459,0.034843586,0.015208281,0.0,-2.563527,-186.81528,186.9198,0.53712773,-105.13685,-187.74396,-254.60754,0.19229008,-0.2284678,19.109451,85000
187.54173,0.03615599,-0.00023340216,0.0,-3.0064554,-187.43303,187.5415,0.82181025,-112.176674,-188.52495,-248.50279,0.81852776,-0.84711474,30.784834,90000
190.49985,0.035045784,0.00887072,0.0,-2.746882,-190.40356,190.50871,0.9000347,-111.47436,-191.34329,-263.28732,0.28259578,-0.24569564,23.306534,95000
189.12093,0.03612268,-0.00067704014,0.0,-3.0187428,-189.01187,189.12025,0.83996314,-111.64773,-190.08582,-257.85788,0.37133723,-0.43374535,26.251682,100000
186.29007,0.03716504,-0.0024389804,0.0,-3.0656257,-186.17615,186.28763,0.6906169,-89.2326,-187.26671,-261.50513,0.25666946,-0.33600086,27.631992,105000
185.27835,0.03814513,-0.00967119,0.0,-3.2535367,-185.15425,185.26868,0.97592366,-78.47548,-186.34392,-268.7525,0.27065307,-0.2767556,24.132252,110000
183.09633,0.03932197,0.003929156,0.0,-2.9000773,-182.9823,183.10027,0.782772,-104.43387,-184.16849,-260.40842,0.22809829,-0.17904979,18.59406,115000
180.19247,0.041173637,0.004539992,0.0,-2.8897355,-180.07352,180.19702,0.7372562,-105.67605,-181.21175,-274.95206,0.20947945,-0.2020592,20.502104,120000
180.19028,0.0363051,-0.0003036112,0.0,-3.0083628,-180.08105,180.18997,1.338106,-96.80766,-181.14009,-262.40576,2.0041199,-2.0176778,35.237396,125000
182.35764,0.038101874,-0.0021973758,0.0,-3.057671,-182.24112,182.35544,0.81481975,-97.59387,-183.33461,-263.7673,0.26302987,-0.1952067,25.505074,130000
184.6651,0.037391573,0.0054507595,0.0,-2.854225,-184.55838,184.67055,0.7121258,-95.37958,-185.59888,-257.3613,0.28412282,-0.25130996,17.287655,135000
182.65633,0.040258244,0.004679408,0.0,-2.8837652,-182.54022,182.66101,0.7069001,-109.880646,-183.68138,-259.44763,0.25319883,-0.26532286,18.910461,140000
178.58206,0.03954522,0.0056410455,0.0,-2.857352,-178.46906,178.5877,0.625669,-109.077255,-179.60088,-258.55655,0.1965828,-0.21708885,18.993996,145000
179.33597,0.041612934,0.000715643,0.0,-2.9828024,-179.21182,179.33669,0.8839766,-107.082245,-180.34901,-263.64987,0.7111923,-0.60270774,20.901466,150000
178.17836,0.038580853,-0.0011223234,0.0,-3.0290902,-178.0615,178.17723,0.5459272,-113.52536,-179.14772,-260.11816,0.17606038,-0.17370552,15.29208,155000
180.44232,0.035116,-0.006743315,0.0,-3.1920297,-180.33023,180.43558,0.550806,-97.01964,-181.37718,-258.4052,0.2621862,-0.24265572,18.727203,160000
183.145,0.034952268,-0.0012516571,0.0,-3.0358105,-183.03891,183.14375,0.7811561,-112.872925,-184.05101,-259.29288,0.22415112,-0.20959148,17.549778,165000
183.42812,0.037823115,-0.009647829,0.0,-3.2550776,-183.30501,183.41847,0.6014822,-108.79918,-184.4292,-266.26413,0.23059085,-0.27599075,21.963345,170000
181.66187,0.039857052,0.009063411,0.0,-2.772602,-181.55135,181.67093,1.6430153,-99.151886,-182.50877,-262.29843,1.0335231,-0.9953399,38.41836,175000
