actor/actor_loss,actor/bc_flow_loss,actor/distill_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
232.03864,0.18118657,0.020748934,4.930028,-108.93596,-232.95584,-300.9982,6.1934795,-1.3719413,117.28198,1005000
237.68907,0.17282747,0.017011778,5.0100346,-100.65899,-238.80316,-299.83807,8.572257,-4.223662,171.84393,1010000
236.07062,0.19244324,0.018256227,4.6700335,-136.898,-237.35278,-302.2449,2.6529443,-3.8091717,122.58677,1015000
235.12543,0.20309326,0.01966154,4.567664,-108.74871,-235.87585,-300.20306,1.2969469,-2.5948143,124.73952,1020000
233.81577,0.1884706,0.018387428,5.184883,-124.50683,-235.18831,-300.682,4.1855736,-1.201331,106.5071,1025000
237.00772,0.19754028,0.019022562,5.5734124,-140.00989,-237.72922,-301.35257,6.032865,-2.1393642,146.37503,1030000
231.52888,0.17366491,0.018609451,5.16366,-96.88112,-232.53545,-300.7075,3.6481814,-1.0796132,111.44756,1035000
231.69374,0.19083835,0.016837107,4.0110273,-113.53239,-232.46234,-299.48706,0.86913955,-5.1267333,107.76378,1040000
234.4461,0.19948424,0.019031912,6.1880856,-92.690895,-235.19612,-299.1117,8.944056,-10.777876,182.39243,1045000
233.4966,0.21478438,0.018534234,5.2151184,-101.41105,-234.1967,-298.58734,6.3889694,-3.399385,140.19421,1050000
235.32816,0.20542568,0.01893092,4.8056164,-118.0513,-236.49591,-301.4094,8.50634,-3.4491243,122.85637,1055000
236.90929,0.2039111,0.01746991,5.399045,-117.45805,-237.73926,-299.64236,2.156132,-3.5067148,126.935295,1060000
231.57416,0.2130899,0.018832125,5.979607,-130.21992,-232.49768,-300.36523,3.294855,-2.3856292,137.91432,1065000
230.695,0.18330139,0.017980013,6.1802073,-80.41345,-231.32985,-299.73566,9.275503,-16.502953,226.23792,1070000
233.0874,0.20439285,0.017072368,5.137819,-130.51445,-234.11264,-301.24847,3.3271775,-2.5016932,114.135704,1075000
234.53052,0.19573589,0.021132555,6.7297316,-104.02537,-235.53583,-301.25723,6.4381647,-1.610722,132.45514,1080000
229.74196,0.19196327,0.019308597,5.521023,-96.0835,-230.91591,-301.193,2.5085547,-6.58556,155.6543,1085000
233.15225,0.17626907,0.016651675,5.629832,-88.011566,-233.80457,-300.15515,1.9875659,-3.1992998,112.8022,1090000
229.58983,0.1694433,0.015882924,5.02741,-119.224266,-230.57063,-300.43973,7.1260986,-1.7584687,130.39642,1095000
226.09737,0.16832821,0.017492818,4.395562,-88.97715,-226.83612,-300.06937,6.301639,-1.7765973,109.99956,1100000
230.27339,0.16995059,0.018954618,5.6368847,-95.93107,-231.25925,-300.62332,2.939167,-1.8578271,123.6719,1105000
230.3154,0.17008159,0.020435648,4.8317695,-62.484844,-231.00539,-300.8861,9.7978,-2.3746629,117.719574,1110000
229.03456,0.19225992,0.016886128,5.0166492,-57.538452,-230.24973,-301.04538,1.2618866,-3.8251576,146.68231,1115000
228.82585,0.18287487,0.018871222,6.652319,-90.60189,-229.87024,-300.31717,7.73498,-5.45704,205.62115,1120000
223.72127,0.17648636,0.01884238,6.260358,-82.82778,-224.72687,-300.30994,2.776412,-8.713488,170.53986,1125000
224.39703,0.16194752,0.020377621,6.026506,-85.096436,-225.36234,-300.51947,2.3943467,-3.1632686,125.347694,1130000
226.76941,0.1949886,0.019813541,6.4385357,-46.446957,-227.44635,-300.30078,1.7671502,-4.0359154,132.40994,1135000
225.92406,0.17595524,0.02061695,6.5724125,-45.24476,-227.04945,-300.45386,6.9393673,-4.779827,148.93399,1140000
226.60309,0.17770968,0.01776634,5.290716,-70.16724,-227.47754,-301.0288,3.0595036,-3.476168,110.46396,1145000
224.79391,0.19367656,0.02049725,6.489949,-52.314533,-225.73679,-300.40674,3.1179724,-3.9860575,138.31757,1150000
222.04007,0.17907365,0.022431191,5.09831,-90.76182,-223.15881,-297.57684,11.311856,-2.1453886,151.80835,1155000
217.21448,0.21477434,0.01972585,7.475825,-83.401794,-218.25926,-300.07446,6.673798,-5.70086,176.65007,1160000
219.76797,0.18593396,0.020175826,7.325741,-76.33832,-220.61497,-300.9059,14.708065,-1.8052281,229.15527,1165000
