actor/actor_loss,actor/alpha,actor/alpha_loss,actor/bc_loss,actor/entropy,actor/q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-9.184748,1.0,21.967258,0.0,9.467258,-0.2825103,12.782511,210.99522,2.643413,-0.27726778,-3.008212,21.967258,-2.250524,709.23566,5000
209.17708,0.28948176,7.3778663,0.0,12.986464,-212.93643,216.55495,1.7757248,-177.18332,-212.99925,-215.43332,7.3778663,-0.55977416,53.869194,10000
237.26254,0.10881838,1.7358273,0.0,3.4515998,-237.63812,238.99837,2.9223163,-163.06302,-240.53667,-271.03598,1.7358273,-0.9137304,60.032837,15000
224.03232,0.04756212,0.16544639,0.0,-9.021467,-223.60321,224.19777,4.3689704,-126.306946,-227.71776,-265.7705,1.0833111,-1.1229035,86.1918,20000
207.66159,0.042081017,0.0032934789,0.0,-12.421735,-207.13885,207.66489,2.4114454,-126.29276,-211.73145,-266.0329,0.6777382,-1.2006555,59.411316,25000
203.98744,0.042346478,-0.010466838,0.0,-12.747171,-203.44763,203.97697,3.2188072,-104.269714,-208.26599,-269.3543,0.9070525,-0.9734383,59.21744,30000
199.37674,0.041269626,0.008822598,0.0,-12.286221,-198.86967,199.38556,2.3703897,-109.79376,-203.6161,-262.77917,0.85942346,-0.8823088,67.899704,35000
194.78584,0.041907355,-0.017234765,0.0,-12.911259,-194.24477,194.76862,1.865445,-98.23134,-198.95381,-262.23215,0.5236949,-0.74937993,51.19692,40000
195.50964,0.041636247,-0.02203321,0.0,-13.029183,-194.96715,195.48761,2.7887053,-88.49328,-200.01819,-263.01215,2.5683339,-2.2761726,67.69171,45000
190.08447,0.039601598,-0.021675251,0.0,-13.047333,-189.5678,190.06279,2.5969632,-101.74284,-194.20976,-261.32434,0.6336149,-0.6697502,54.10692,50000
192.49715,0.039892904,-0.00050759426,0.0,-12.512724,-191.99797,192.49664,2.055783,-98.18255,-196.96582,-265.84332,0.6135637,-0.82492507,44.268093,55000
194.40678,0.039182615,-0.0056779096,0.0,-12.644909,-193.91132,194.40111,2.326327,-92.29649,-199.04031,-267.322,0.74296224,-0.93699276,54.356747,60000
187.90744,0.042766623,-0.018803552,0.0,-12.939678,-187.35406,187.88864,3.4320495,-95.96888,-192.66954,-266.137,1.262938,-1.138826,80.55698,65000
185.95123,0.0400072,-0.015919881,0.0,-12.897925,-185.43523,185.93532,3.0111794,-78.17689,-190.52208,-261.52936,0.80085135,-1.1877658,54.577816,70000
186.65347,0.039104376,-0.0148591455,0.0,-12.879987,-186.14981,186.63861,2.5726097,-88.92578,-190.8722,-264.51996,0.61355454,-0.67567855,62.683914,75000
187.58401,0.039374474,0.0023936143,0.0,-12.439209,-187.09421,187.58641,3.0752206,-81.25632,-191.99373,-266.1012,0.7187503,-0.8284163,62.879093,80000
182.90216,0.041376177,0.009079568,0.0,-12.2805605,-182.39404,182.91124,3.7887852,-84.5125,-187.76884,-267.82446,0.9815864,-1.0661721,61.297207,85000
185.67526,0.04016566,-0.023132594,0.0,-13.07593,-185.15005,185.65213,5.132261,-69.85967,-189.89592,-268.2575,4.656174,-4.4296856,84.75864,90000
182.90038,0.041127093,-0.017910423,0.0,-12.93549,-182.36838,182.88246,2.445675,-73.59931,-187.69724,-269.38852,1.2397408,-0.68040156,47.346794,95000
186.33444,0.03937488,0.009409595,0.0,-12.261025,-185.85168,186.34386,2.2426357,-87.1199,-190.86433,-269.61063,0.8611586,-1.0328603,43.873253,100000
189.48419,0.03833724,0.02321405,0.0,-11.894478,-189.0282,189.5074,2.4786005,-96.331345,-193.5065,-268.5388,0.61233467,-0.9433191,53.11267,105000
189.72531,0.038368322,0.033177648,0.0,-11.635285,-189.2789,189.75848,1.756905,-90.395615,-194.0136,-272.4265,0.31397018,-0.4568937,30.733688,110000
185.50214,0.037759546,-0.022370432,0.0,-13.092444,-185.00778,185.47977,2.187517,-68.18134,-189.74681,-279.66663,0.5003277,-0.417254,38.498154,115000
183.31937,0.0368111,-0.042589266,0.0,-13.656968,-182.81665,183.27678,1.9257039,-72.11629,-187.52403,-276.00027,0.3630777,-0.5230808,34.54117,120000
186.70903,0.036465306,0.0168309,0.0,-12.038441,-186.27005,186.72586,2.150561,-86.05202,-190.83347,-275.30072,0.32488576,-0.7705279,36.16424,125000
186.9751,0.036461584,0.007976389,0.0,-12.281239,-186.5273,186.98308,2.4740748,-82.45451,-191.15294,-270.60553,0.4525842,-0.5252981,46.503155,130000
184.89482,0.036659442,0.015382005,0.0,-12.080408,-184.45197,184.9102,2.5000956,-92.48788,-189.24658,-272.56033,0.59322286,-0.61060125,34.30487,135000
187.59012,0.035842936,-0.024347777,0.0,-13.179291,-187.11774,187.56577,2.2406933,-87.36683,-191.79271,-271.16064,0.51468503,-0.5142526,41.47409,140000
191.76071,0.034842607,0.012650621,0.0,-12.136921,-191.33783,191.77336,2.9883862,-89.57895,-195.59048,-272.4914,0.48649096,-0.4950744,41.49496,145000
190.6296,0.036065042,0.028376745,0.0,-11.713179,-190.20715,190.65797,2.2527885,-89.2737,-194.76173,-273.7566,0.7170851,-0.53646415,44.86282,150000
186.02927,0.03543861,0.0016769341,0.0,-12.452681,-185.58795,186.03094,1.918456,-87.27753,-190.03387,-274.44855,0.63048,-0.61709267,34.770073,155000
193.30133,0.035918783,-0.0028875445,0.0,-12.580391,-192.84946,193.29845,1.9889954,-87.64731,-197.2762,-276.49002,0.8600545,-0.94538224,40.14013,160000
190.25948,0.035272617,0.006081453,0.0,-12.327587,-189.82465,190.26556,2.408655,-89.692,-194.22966,-276.58032,0.7092651,-1.0613306,43.52648,165000
192.27939,0.03485098,-0.0052108164,0.0,-12.649517,-191.83853,192.27419,8.281798,-81.66628,-196.25273,-278.84503,0.54783607,-0.5881585,53.79793,170000
190.0138,0.035144117,-0.003906261,0.0,-12.61115,-189.57059,190.00989,1.9647465,-85.24921,-194.05754,-277.20663,0.4208528,-0.7652309,33.81668,175000
191.79068,0.035068836,0.014046116,0.0,-12.09947,-191.36636,191.80473,1.66989,-95.43476,-195.78375,-278.6352,0.6964736,-0.7061254,45.13246,180000
