actor/actor_loss,actor/alpha,actor/alpha_loss,actor/bc_loss,actor/entropy,actor/q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-2.9015875,1.0,5.601113,0.0,3.1011128,-0.19952527,2.6995254,10.52862,3.456719,-0.20566808,-2.9816036,5.601113,-0.68579066,176.38535,5000
68.90998,0.2894294,1.7137921,0.0,3.4212785,-69.9002,70.62377,0.094967805,-55.472527,-69.90249,-70.771996,1.7137921,-0.098257,5.49995,10000
119.24389,0.094942115,0.5404134,0.0,3.1920302,-119.54695,119.7843,0.31001258,-85.387695,-119.620705,-121.97308,0.5404134,-0.16040319,13.718941,15000
144.73895,0.04053431,0.06681076,0.0,-0.851748,-144.70442,144.80577,0.4664959,-89.66078,-145.57214,-161.68309,0.20906274,-0.2712822,21.457401,20000
157.44196,0.032711014,0.012674545,0.0,-2.1125298,-157.37286,157.45464,0.3664269,-101.37479,-158.1296,-189.82907,0.21579386,-0.22777824,21.47056,25000
170.35461,0.028067231,-0.00478165,0.0,-2.6703641,-170.27966,170.34984,0.48100376,-104.25772,-171.1282,-205.17653,0.22497633,-0.22760081,20.189873,30000
176.55176,0.027123626,0.007032199,0.0,-2.2407353,-176.49097,176.55879,0.48393533,-108.73123,-177.39246,-215.59578,0.22148177,-0.2332624,26.056046,35000
185.45488,0.031369407,-0.018222412,0.0,-3.0808976,-185.35823,185.43666,0.62445736,-109.87547,-186.27261,-236.59244,0.21460055,-0.20147848,24.040274,40000
178.41937,0.047928926,0.0070019155,0.0,-2.3539104,-178.30656,178.42638,0.98074895,-95.6748,-179.59753,-248.9395,0.82771605,-0.7864792,46.960175,45000
177.5372,0.04120176,0.0045855297,0.0,-2.3887055,-177.4388,177.5418,0.5920957,-98.645424,-178.59726,-249.36804,0.75129676,-0.7465326,38.79151,50000
174.7025,0.03901169,0.0037402562,0.0,-2.4041247,-174.6087,174.70624,0.57342404,-108.36266,-175.77911,-247.2428,0.26963702,-0.17504282,22.9718,55000
177.6994,0.039123245,0.000529506,0.0,-2.4864657,-177.60214,177.69994,0.7282332,-102.18853,-178.64223,-245.62033,0.40347627,-0.23901148,24.858425,60000
178.72433,0.044341553,-0.0020850226,0.0,-2.5470219,-178.61139,178.72224,0.7448249,-86.228966,-179.80603,-251.14163,0.24901094,-0.35251728,25.78217,65000
175.47748,0.04360048,-0.0109001,0.0,-2.7499995,-175.35757,175.46658,0.8935156,-92.657646,-176.67322,-255.93222,0.22329994,-0.21140401,22.213701,70000
172.05508,0.04369593,-0.012821857,0.0,-2.7934337,-171.93303,172.04227,0.81178063,-85.591736,-173.14816,-248.67796,0.4691811,-0.4546025,33.3537,75000
172.80414,0.043046497,-0.0023182768,0.0,-2.5538552,-172.69421,172.80182,0.9986686,-91.82475,-173.85515,-242.02286,0.3327071,-0.33418638,24.176163,80000
167.50148,0.04627172,0.013159831,0.0,-2.2155967,-167.39896,167.51463,0.89033693,-89.64169,-168.61655,-247.34314,0.35768938,-0.36631167,29.00725,85000
169.66159,0.043786213,0.013228721,0.0,-2.1978793,-169.56535,169.67482,0.9725302,-62.901443,-170.67929,-241.35915,0.3159895,-0.32239106,32.51457,90000
167.47662,0.04503702,-0.008619894,0.0,-2.6913958,-167.35541,167.468,1.0944277,-74.09424,-168.68584,-239.08228,0.39463067,-0.34874055,35.073746,95000
171.08421,0.041628435,-0.0022395845,0.0,-2.5537994,-170.9779,171.08197,0.67610455,-58.012573,-172.07535,-239.44012,0.25982228,-0.2660099,23.103195,100000
169.61789,0.042766258,0.0020602993,0.0,-2.4518242,-169.51302,169.61995,0.67158103,-88.55221,-170.64355,-251.13252,0.4394182,-0.3638271,21.319242,105000
171.23196,0.040799867,-0.011257885,0.0,-2.7759295,-171.11871,171.2207,1.0379715,-91.11939,-172.1997,-247.75952,0.27991286,-0.27088773,23.301037,110000
175.51407,0.040261183,0.0007990987,0.0,-2.4801521,-175.41422,175.51486,0.76144695,-82.63591,-176.45433,-256.89685,0.41933942,-0.31339845,27.801231,115000
175.71063,0.03945944,-0.0051742685,0.0,-2.6311288,-175.60683,175.70546,0.9179142,-56.097893,-176.81273,-260.68378,0.32823223,-0.30407092,30.455423,120000
176.58463,0.039981466,-0.00605641,0.0,-2.6514804,-176.4786,176.57857,0.7844357,-101.15013,-177.5784,-253.52348,0.32659376,-0.2715654,25.523136,125000
178.31242,0.03988151,0.006159611,0.0,-2.3455522,-178.21887,178.31859,0.9490927,-78.51953,-179.30078,-257.50467,0.24700306,-0.2467083,19.793526,130000
176.83409,0.04074717,-0.013838539,0.0,-2.8396196,-176.71838,176.82025,0.9666586,-96.42137,-177.92867,-255.31905,0.38728845,-0.33585173,27.597933,135000
180.0127,0.040567685,-0.0027500072,0.0,-2.5677881,-179.90852,180.00995,1.1966995,-100.686165,-181.03508,-274.0206,0.509668,-0.5161716,33.110016,140000
180.13657,0.041849073,0.0046679787,0.0,-2.3884568,-180.0366,180.14124,0.92245674,-100.242935,-181.20158,-270.59244,0.24040781,-0.2996512,24.708508,145000
179.15904,0.041075144,-0.003397532,0.0,-2.582715,-179.05295,179.15564,1.072859,-92.7623,-180.252,-269.06174,0.284763,-0.28861013,23.910912,150000
180.99707,0.040377308,0.0016935869,0.0,-2.458056,-180.89783,180.99876,0.7634627,-92.64225,-182.06897,-264.57477,0.2641658,-0.24895795,18.488781,155000
176.55147,0.039233774,0.001428524,0.0,-2.4635894,-176.4548,176.5529,0.93961686,-92.71748,-177.59737,-271.67688,0.43536782,-0.3693142,22.142893,160000
179.44624,0.041956346,-0.0068117403,0.0,-2.662353,-179.33453,179.43944,0.7074993,-95.99578,-180.51958,-255.77682,0.4546855,-0.34391832,20.951153,165000
174.55084,0.0403636,0.003992281,0.0,-2.401092,-174.45392,174.55484,0.82893324,-100.94642,-175.59299,-275.1544,0.28210297,-0.2415733,21.910072,170000
177.15086,0.038795322,-0.00095447706,0.0,-2.524603,-177.05292,177.1499,0.7951608,-90.23517,-178.25237,-269.4079,0.2522242,-0.27699468,20.754787,175000
179.13397,0.03843923,0.002582152,0.0,-2.432825,-179.04047,179.13655,0.71672815,-108.82586,-180.147,-261.73495,0.25323147,-0.30126283,16.755604,180000
176.99442,0.038281243,0.01129558,0.0,-2.2049317,-176.91,177.0057,0.857182,-83.64932,-178.0264,-264.70322,0.27481678,-0.30032808,21.168476,185000
